name,ratings,price,camera,display,battery,storage,ram,processor,android_version
"SAMSUNG Galaxy S20 FE (Cloud Mint, 128 GB)",4.0,27500,12,other_types,4500,128,8,not mentioned,10
"SAMSUNG Galaxy A04e (Light Blue, 64 GB)",4.2,9999,13,LCD,5000,64,3,not mentioned,13
"SAMSUNG Galaxy A14 5G (Black, 128 GB)",4.1,19999,50,LCD,5000,128,8,not mentioned,13
"SAMSUNG Galaxy A14 5G (Black, 64 GB)",4.1,15999,50,LCD,5000,64,4,not mentioned,12
"SAMSUNG Galaxy A04 (Black, 128 GB)",4.0,11990,50,LCD,5000,128,4,Gen8,13
"SAMSUNG Galaxy S23 Plus 5G (Cream, 256 GB)",4.5,29463,50,HD+ AMOLED,4700,256,8,Snapdragon750GProcessor,12
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.2,14499,50,other_types,5000,128,4,not mentioned,12
"SAMSUNG Galaxy A04s (Green, 64 GB)",4.1,12499,50,other_types,5000,64,4,not mentioned,12
"SAMSUNG Galaxy A23 (Peach, 128 GB)",4.2,17499,50,other_types,5000,128,6,not mentioned,12
"SAMSUNG Galaxy A04 (Green, 128 GB)",4.0,12999,50,LCD,5000,128,4,Snapdragon888,11
"SAMSUNG Galaxy A04s (Black, 64 GB)",4.1,12499,50,other_types,5000,64,4,not mentioned,12
"SAMSUNG Galaxy A13 (Green, 128 GB)",4.2,16295,50,other_types,5000,128,6,not mentioned,11
"SAMSUNG Galaxy A03 Core (Green, 32 GB)",4.1,8403,8,LCD,5000,32,2,not mentioned,13
"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)",4.1,19999,50,LCD,5000,128,8,Snapdragon750GProcessor,12
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.2,14499,50,other_types,5000,128,4,not mentioned,11
"SAMSUNG Galaxy M12 (White, 64 GB)",4.2,10999,48,other_types,6000,64,4,Snapdragon720GProcessor,11
"SAMSUNG Galaxy A52 (Awesome Blue, 128 GB)",4.3,25980,64,HD+ AMOLED,4500,128,6,not mentioned,12
"SAMSUNG Galaxy A23 (Blue, 128 GB)",4.3,19990,50,other_types,5000,128,8,not mentioned,13
"SAMSUNG Galaxy A14 5G (Light Green, 64 GB)",4.1,15999,50,LCD,5000,64,4,not mentioned,11
"SAMSUNG Galaxy M12 (Black, 64 GB)",4.2,12498,48,other_types,6000,64,4,not mentioned,13
"SAMSUNG Galaxy A14 5G (Dark Red, 64 GB)",4.1,15999,50,LCD,5000,64,4,not mentioned,13
"SAMSUNG Galaxy A23 5G (Orange, 128 GB)",4.1,21999,50,LCD,5000,128,6,Snapdragon695,12
"SAMSUNG Galaxy A23 5G (Silver, 128 GB)",4.1,21999,50,LCD,5000,128,6,Snapdragon695,12
"SAMSUNG Galaxy A03 Core (Bronze, 32 GB)",4.1,7199,8,LCD,5000,32,2,not mentioned,11
"SAMSUNG Galaxy Z Flip4 5G (Graphite, 256 GB)",3.7,29463,12,HD+ AMOLED,3700,256,8,Snapdragon1P,12
"SAMSUNG Galaxy A03 (Black, 32 GB)",4.1,9400,48,other_types,5000,32,3,not mentioned,11
"SAMSUNG Galaxy A23 5G (Silver, 128 GB)",3.8,23999,50,LCD,5000,128,8,Snapdragon695,12
"SAMSUNG Galaxy A34 5G (Awesome Silver, 128 GB)",4.2,30999,48,other_types,5000,128,8,"Dimensity1080,",13
"SAMSUNG Galaxy F62 (Laser Blue, 128 GB)",4.3,31999,64,HD+ AMOLED,7000,128,8,not mentioned,11
"SAMSUNG Galaxy S20 FE 5G (Cloud Navy, 128 GB)",4.2,27995,12,other_types,4500,128,8,not mentioned,10
"SAMSUNG Galaxy M53 5G (Deep Ocean Blue, 128 GB)",4.0,29999,108,other_types,5000,128,8,not mentioned,12
"SAMSUNG Galaxy A03 Core (Black, 32 GB)",4.1,7189,8,LCD,5000,32,2,not mentioned,11
"SAMSUNG Galaxy S22 Ultra 5G (Green, 256 GB)",4.3,17964,108,AMOLED,5000,256,12,not mentioned,12
"SAMSUNG GALAXY M13 (Stardust Brown, 64 GB)",4.2,10490,50,other_types,6000,64,4,not mentioned,12
"SAMSUNG Galaxy M12 (Black, 64 GB)",4.2,12498,48,other_types,6000,64,4,not mentioned,11
"SAMSUNG Galaxy A34 5G (Awesome Graphite, 128 GB)",4.2,30999,48,other_types,5000,128,8,"Dimensity1080,",13
"SAMSUNG Galaxy S22 Ultra 5G (Phantom Black, 256 GB)",4.3,19464,108,AMOLED,5000,256,12,not mentioned,12
"SAMSUNG Galaxy S23 5G (Green, 256 GB)",4.5,14463,50,HD+ AMOLED,3900,256,8,Gen8,13
"SAMSUNG Galaxy S23 5G (Green, 128 GB)",4.5,9463,50,HD+ AMOLED,3900,128,8,Gen8,13
"SAMSUNG Galaxy A03 Core (Mint, 32 GB)",4.1,7199,8,other_types,5000,32,2,not mentioned,11
"SAMSUNG Galaxy S23 5G (Lavender, 256 GB)",4.5,14463,50,HD+ AMOLED,3900,256,8,Gen8,13
"SAMSUNG Galaxy M32 (Black, 64 GB)",4.2,14999,64,other_types,6000,64,4,not mentioned,11
"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)",4.5,9463,50,HD+ AMOLED,3900,128,8,Gen8,13
"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)",4.5,14463,50,HD+ AMOLED,3900,256,8,Gen8,13
"SAMSUNG Galaxy A34 5G (Awesome Lime, 128 GB)",4.2,30999,48,other_types,5000,128,8,"Dimensity1080,",13
"SAMSUNG Galaxy A13 (Black, 128 GB)",4.2,16499,50,other_types,5000,128,6,not mentioned,12
"SAMSUNG Galaxy S23 5G (Cream, 256 GB)",4.5,14463,50,HD+ AMOLED,3900,256,8,Gen8,13
"SAMSUNG Galaxy S23 5G (Cream, 128 GB)",4.5,9463,50,HD+ AMOLED,3900,128,8,Gen8,13
"SAMSUNG Galaxy M11 (Metallic Blue, 64 GB)",4.2,12490,13,LCD,5000,64,4,Snapdragon(SDM450-F01),10
"SAMSUNG Galaxy A53 (Awesome White, 128 GB)",4.0,31999,64,HD+ AMOLED,5000,128,6,not mentioned,12
"SAMSUNG Galaxy S23 5G (Lavender, 128 GB)",4.5,9463,50,HD+ AMOLED,3900,128,8,Gen8,13
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",4.2,14499,50,other_types,5000,128,4,Snapdragon750GProcessor,12
"SAMSUNG Galaxy A33 (Awesome Blue, 128 GB)",4.1,27499,48,other_types,5000,128,8,not mentioned,12
"SAMSUNG Galaxy A33 (Awesome Black, 128 GB)",4.1,27990,48,other_types,5000,128,8,not mentioned,12
"SAMSUNG Galaxy M32 (Black, 128 GB)",4.2,14995,64,other_types,6000,128,6,not mentioned,11
"SAMSUNG Galaxy M31 (Ocean Blue, 64 GB)",4.3,18999,64,other_types,6000,64,6,not mentioned,10
